Hexagon,Plot,Plot.id,Code,Height m,Species,DBH,BH Age yrs,Site Index m,Species Name,Curves Developed For - Species,SI Curve,SI Curve #
16,4,H16P4,H16P4SIT2,21.2,Sx,31.1,54,19.96,Spruce hybrid,White spruce,Goudie (1984ac) (natural),106
16,4,H16P4,H16P4SIT1,25.1,Fd,38.4,58,22.7,Douglas-fir,Interior Douglas-fir,Thrower and Goudie (1992ac),96
16,7,H16P7,H16P7SIT3,22.5,Bl,31.2,64,18.87,Subalpine fir,Subalpine fir,Chen and Klinka (2000ac),93
16,7,H16P7,H16P7SIT4,23.1,Bl,33.9,82,16.23,Subalpine fir,Subalpine fir,Chen and Klinka (2000ac),93
16,7,H16P7,H16P7SIT2,27.2,Sx,40.9,75,20.59,Spruce hybrid,White spruce,Goudie (1984ac) (natural),106
16,7,H16P7,H16P7SIT1,24.5,Sx,41.1,65,20.24,Spruce hybrid,White spruce,Goudie (1984ac) (natural),106
17,7,H17P7,H17P7SIT4,18.9,Bl,25.4,62,15.95,Subalpine fir,Subalpine fir,Chen and Klinka (2000ac),93
17,7,H17P7,H17P7SIT3,19.8,Bl,30,61,17,Subalpine fir,Subalpine fir,Chen and Klinka (2000ac),93
17,7,H17P7,H17P7SIT2,23.1,Sx,29.8,47,24.33,Spruce hybrid,White spruce,Goudie (1984ac) (natural),106
17,7,H17P7,H17P7SIT1,23.9,Sx,39.1,66,19.44,Spruce hybrid,White spruce,Goudie (1984ac) (natural),106
17,4,H17P4,H17P4SIT5,22.5,Bl,26.8,60,19.76,Subalpine fir,Subalpine fir,Chen and Klinka (2000ac),93
17,4,H17P4,H17P4SIT4,28.2,At,30.2,65,24.84,Trembling aspen,Trembling aspen,"Nigh, Krestov, and Klinka 2002",92
17,4,H17P4,H17P4SIT2,25.7,Sx,32.1,54,24.37,Spruce hybrid,White spruce,Goudie (1984ac) (natural),106
17,4,H17P4,H17P4SIT1,19,Sx,25.4,49,19.35,Spruce hybrid,White spruce,Goudie (1984ac) (natural),106
17,4,H17P4,H17P4SIT3,25.3,At,21.6,65,22.13,Trembling aspen,Trembling aspen,"Nigh, Krestov, and Klinka 2002",92
12,4,H12P4,H12P4SIT4,22.7,Bl,26.6,120,11.77,Subalpine fir,Subalpine fir,Chen and Klinka (2000ac),93
12,4,H12P4,H12P4SIT1,21.5,Sx,37.3,60,18.64,Spruce hybrid,White spruce,Goudie (1984ac) (natural),106
12,4,H12P4,H12P4SIT3,22.8,Bl,33.4,145,10.09,Subalpine fir,Subalpine fir,Chen and Klinka (2000ac),93
12,2,H12P2,H12P2SIT2,25.1,Bl,29,99,15.8,Subalpine fir,Subalpine fir,Chen and Klinka (2000ac),93
12,2,H12P2,H12P2SIT3,31.6,Sx,40.1,120,18.3,Spruce hybrid,White spruce,Goudie (1984ac) (natural),106
12,2,H12P2,H12P2SIT1,26.8,Bl,27,110,16.15,Subalpine fir,Subalpine fir,Chen and Klinka (2000ac),93
12,2,H12P2,H12P2SIT4,20.3,Sx,21.2,58,18.02,Spruce hybrid,White spruce,Goudie (1984ac) (natural),106
11,6,H11P6,H11P6SIT4,18.3,Bl,18.7,46,19.49,Subalpine fir,Subalpine fir,Chen and Klinka (2000ac),93
11,6,H11P6,H11P6SIT2,21.6,Fd,41.8,52,21.02,Douglas-fir,Interior Douglas-fir,Thrower and Goudie (1992ac),96
11,6,H11P6,H11P6SIT3,18,Bl,21.4,46,19.18,Subalpine fir,Subalpine fir,Chen and Klinka (2000ac),93
11,6,H11P6,H11P6SIT1,25.2,Fd,35.9,66,20.97,Douglas-fir,Interior Douglas-fir,Thrower and Goudie (1992ac),96
18,5,H18P5,H18P5SIT4,24.4,Bl,38.7,75,18.51,Subalpine fir,Subalpine fir,Chen and Klinka (2000ac),93
18,5,H18P5,H18P5SIT2,21.6,Sx,36.4,43,24.47,Spruce hybrid,White spruce,Goudie (1984ac) (natural),106
18,5,H18P5,H18P5SIT3,26.5,Bl,36.2,63,22.88,Subalpine fir,Subalpine fir,Chen and Klinka (2000ac),93
18,5,H18P5,H18P5SIT1,21.8,Sx,44.4,68,17.1,Spruce hybrid,White spruce,Goudie (1984ac) (natural),106
18,3,H18P3,H18P3SIT3,21.9,Ac,39,86,15.36,Poplar,Balsam poplar,"Huang, Titus, and Lakusta (1994ac)",97
18,3,H18P3,H18P3SIT1,24.3,Sx,36.6,59,21.55,Spruce hybrid,White spruce,Goudie (1984ac) (natural),106
18,3,H18P3,H18P3SIT2,27.6,Sx,54.3,148,12.3,Spruce hybrid,White spruce,Goudie (1984ac) (natural),106
11,1,H11P1,H11P1SIT1,24,Sx,37.2,55,22.39,Spruce hybrid,White spruce,Goudie (1984ac) (natural),106
11,7,H11P7,H11P7SIT1,26.5,Sx,36.7,49,26.97,Spruce hybrid,White spruce,Goudie (1984ac) (natural),106
12,1,H12P1,H12P1SIT1,26.8,Sx,31.8,38,32.76,Spruce hybrid,White spruce,Goudie (1984ac) (natural),106
12,7,H12P7,H12P7SIT1,24.8,Sx,30.1,56,22.87,Spruce hybrid,White spruce,Goudie (1984ac) (natural),106
14,1,H14P1,H14P1SIT1,23.3,Sx,27.5,56,21.42,Spruce hybrid,White spruce,Goudie (1984ac) (natural),106
14,2,H14P2,H14P2SIT1,25,Sx,33,61,21.68,Spruce hybrid,White spruce,Goudie (1984ac) (natural),106
18,6,H18P6,H18P6SIT1,24.2,Sx,39.3,59,21.46,Spruce hybrid,White spruce,Goudie (1984ac) (natural),106
18,9,H18P9,H18P9SIT1,25.5,Sx,41.4,61,22.16,Spruce hybrid,White spruce,Goudie (1984ac) (natural),106
20,1,H20P1,H20P1SIT1,27.4,Sx,37.2,60,24.24,Spruce hybrid,White spruce,Goudie (1984ac) (natural),106
20,3,H20P3,H20P3SIT1,20.5,Sx,29,48,21.23,Spruce hybrid,White spruce,Goudie (1984ac) (natural),106
2,6,H2P6,H2P6SIT1,33.9,Sx,43.7,155,17.5,Spruce hybrid,White spruce,Goudie (1984ac) (natural),106
3,8,H3P8,H3P8SIT1,24.5,Sx,33.6,52,23.83,Spruce hybrid,White spruce,Goudie (1984ac) (natural),106
3,9,H3P9,H3P9SIT1,32,Sx,53.2,139,16.91,Spruce hybrid,White spruce,Goudie (1984ac) (natural),106
4,3,H4P3,H4P3SIT1,25.5,Sx,33.8,50,25.55,Spruce hybrid,White spruce,Goudie (1984ac) (natural),106
4,6,H4P6,H4P6SIT1,26.1,Sx,35.6,59,23.27,Spruce hybrid,White spruce,Goudie (1984ac) (natural),106
5,6,H5P6,H5P6SIT1,21.7,Sx,29.4,55,20.15,Spruce hybrid,White spruce,Goudie (1984ac) (natural),106
8,4,H8P4,H8P4SIT1,23.1,Sx,30.6,55,21.52,Spruce hybrid,White spruce,Goudie (1984ac) (natural),106
8,6,H8P6,H8P6SIT1,20.1,Sx,21.8,48,20.82,Spruce hybrid,White spruce,Goudie (1984ac) (natural),106
9,1,H9P1,H9P1SIT1,26.3,Sx,40,55,24.63,Spruce hybrid,White spruce,Goudie (1984ac) (natural),106
